Metabolomic Feature,Retention Time,m/z,Cluster (if DA),Putative Chemical Class,Exact Match to Standard (* = isomer family),Adduct
HILIC-neg_Cluster_0335,3.840545,182.045892,3,Pyridines and derivatives,4-pyridoxate,[M-H]-
HILIC-pos_Cluster_0422,5.216495,199.081977,2,Organonitrogen compounds,5-acetylamino-6-amino-3-methyluracil,[M+H]+
HILIC-pos_Cluster_1370,1.699779,371.365793,29,#N/A,5alpha-cholestanol,[M-H2O+H]+
C8-pos_Cluster_0100,4.059965,269.247513,#N/A,Fatty acid methyl esters,7-hexadecenoic acid methyl ester,[M+H]+
C18-neg_Cluster_0901,8.598227,405.264441,22,#N/A,7-ketodeoxycholate,[M-H]-
HILIC-pos_Cluster_0246,5.691902,166.071809,#N/A,Imidazopyrimidines,7-methylguanine,[M+H]+
HILIC-pos_Cluster_0914,5.249252,284.098026,#N/A,Purine nucleosides,8-hydroxy-deoxyguanosine,[M+H]+
C18-neg_Cluster_0394,10.358848,313.238464,#N/A,Long-chain fatty acids,9.10-diHOME,[M-H]-
C18-neg_Cluster_0025,1.024814,161.985411,#N/A,Organic sulfuric acids and derivatives,acesulfame,[M-H]-
HILIC-neg_Cluster_0232,3.482412,161.986314,#N/A,Organic sulfuric acids and derivatives,acesulfame,[M-H]-
HILIC-neg_Cluster_0103,3.919960,130.050830,#N/A,N-acyl-L-alpha-amino acids,acetylalanine,[M-H]-
HILIC-pos_Cluster_0152,7.671379,146.116992,#N/A,Quaternary ammonium salts,acetylcholine,[M+H]+
C18-neg_Cluster_0090,1.126767,222.076542,#N/A,"Amino acids, peptides, and analogues",acetytyrosine,[M+H]+
HILIC-neg_Cluster_0120,2.271317,134.047170,1,Purines and purine derivatives,adenine,[M-H]-
HILIC-pos_Cluster_0447,9.686666,203.149698,2,Arginine and derivatives,ADMA,[M+H]+
HILIC-pos_Cluster_0446,9.579272,203.149549,#N/A,Arginine and derivatives,ADMA/SDMA*,[M+H]+
C18-neg_Cluster_0506,15.061144,331.264136,11,Very long-chain fatty acids,adrenic acid,[M-H]-
HILIC-pos_Cluster_0008,7.798448,90.055267,#N/A,"Amino acids, peptides, and analogues",alanine,[M+H]+
HILIC-neg_Cluster_0015,3.300430,88.040286,#N/A,"Amino acids, peptides, and analogues",alanine,[M-H]-
HILIC-neg_Cluster_0034,3.866533,103.039899,1,#N/A,alpha-hydroxybutyrate,[M-H]-
HILIC-neg_Cluster_0159,7.756236,145.014087,#N/A,Gamma-keto acids and derivatives,alpha-ketoglutarate,[M-H]-
HILIC-neg_Cluster_0062,3.521750,115.039921,#N/A,Keto acids and derivatives,alpha-ketoisovalerate,[M-H]-
C18-neg_Cluster_0244,13.755078,277.217171,1,Lineolic acids and derivatives,alpha-linolenic acid,[M-H]-
C18-neg_Cluster_0927,8.117757,407.279768,#N/A,#N/A,alpha-muricholate,[M-H]-
HILIC-pos_Cluster_0667,10.469162,241.128533,#N/A,Peptidomimetics,anserine,[M+H]+
C18-neg_Cluster_0354,14.312958,303.232901,13,#N/A,arachidonic acid,[M-H]-
C18-neg_Cluster_1620,14.313547,507.194155,2,#N/A,arachidonic acid,[Unknown]-
C18-neg_Cluster_1941,14.312981,575.182128,2,#N/A,arachidonic acid,[Unknown]-
C18-neg_Cluster_0709,14.313255,371.220378,13,#N/A,arachidonic acid,[Unknown]-
C18-neg_Cluster_1131,14.313544,439.207761,13,#N/A,arachidonic acid,[Unknown]-
HILIC-pos_Cluster_0295,9.135880,175.118517,2,"Amino acids, peptides, and analogues",arginine,[M+H]+
HILIC-neg_Cluster_0290,4.262824,173.104141,#N/A,"Amino acids, peptides, and analogues",arginine,[M-H]-
HILIC-neg_Cluster_0299,9.502579,175.024517,#N/A,Furanones,ascorbate,[M-H]-
HILIC-pos_Cluster_0099,7.925600,133.060390,#N/A,Asparagine and derivatives,asparagine,[M+H]+
HILIC-neg_Cluster_0112,3.962060,131.046065,#N/A,Asparagine and derivatives,asparagine,[M-H]-
HILIC-neg_Cluster_0117,5.346335,132.030197,#N/A,"Amino acids, peptides, and analogues",aspartate,[M-H]-
HILIC-pos_Cluster_0817,6.740240,267.169068,#N/A,Phenylacetamides,atenolol,[M+H]+
HILIC-neg_Cluster_0365,7.129824,187.097181,6,Fatty acids and conjugates,azelaic acid,[M-H]-
C18-neg_Cluster_0045,4.477811,187.096512,6,Fatty acids and conjugates,azelate,[M-H]-
HILIC-pos_Cluster_0009,7.961105,90.055235,#N/A,"Amino acids, peptides, and analogues",beta-alanine,[M+H]+
HILIC-pos_Cluster_0048,8.945123,118.085992,#N/A,"Amino acids, peptides, and analogues",betaine,[M+H]+
C8-pos_Cluster_0515,7.722481,397.383243,#N/A,#N/A,beta-sitosterol,[M-H2O+H]+
HILIC-pos_Cluster_2052,1.642753,585.267624,#N/A,#N/A,bilirubin,[M+H]+
HILIC-neg_Cluster_0013,3.914183,87.045064,#N/A,Straight chain fatty acids,butyrate / isobutytare*,[M-H]-
HILIC-pos_Cluster_0151,8.675049,146.116967,#N/A,Fatty acids and conjugates,butyrobetaine,[M+H]+
HILIC-pos_Cluster_1374,6.681222,372.309038,1,Acyl carnitines,C14 carnitine,[M+H]+
C8-pos_Cluster_1303,11.552452,619.542184,1,Cholesteryl esters,C14:0 CE,[M+Na]+
C8-pos_Cluster_1521,7.525761,675.541420,#N/A,Sphingolipids,C14:0 SM,[M+H]+
HILIC-pos_Cluster_1486,6.561967,400.340310,3,Acyl carnitines,C16 carnitine,[M+H]+
C8-pos_Cluster_1395,11.973232,647.573818,9,Cholesteryl esters,C16:0 CE,[M+Na]+
C8-pos_Cluster_1375,11.968649,642.618861,#N/A,Cholesteryl esters,C16:0 CE,[M+NH4]+
C8-pos_Cluster_1004,8.197254,538.519883,6,Sphingolipids,C16:0 ceramide (d18:1),[M+H]+
C8-pos_Cluster_0878,4.767281,496.339905,14,1-acyl-sn-glycero-3-phosphocholines,C16:0 LPC,[M+H]+
HILIC-pos_Cluster_1684,6.263367,454.290967,#N/A,1-acyl-sn-glycero-3-phosphoethanolamines,C16:0 LPE,[M+H]+
C8-pos_Cluster_1657,8.053829,703.574815,9,Sphingolipids,C16:0 SM,[M+H]+
HILIC-pos_Cluster_2293,7.126087,703.571469,9,Sphingolipids,C16:0 SM,[M+H]+
C8-pos_Cluster_1369,11.625544,640.602783,2,Cholesteryl esters,C16:1 CE,[M+NH4]+
C8-pos_Cluster_1386,11.627639,645.557757,2,Cholesteryl esters,C16:1 CE*,[M+Na]+
HILIC-pos_Cluster_1773,7.530619,480.342826,14,1-(1Z-alkenyl)-glycero-3-phosphocholines,C16:1 LPC plasmalogen*,[M+H]+
C8-pos_Cluster_0354,4.959597,351.250395,#N/A,1-monoacylglycerols,C16:1 MAG,[M+Na]+
C8-pos_Cluster_0313,4.840698,339.250073,#N/A,1-monoacylglycerols,C16:1 MAG*,#N/A
C8-pos_Cluster_1647,7.695674,701.556757,#N/A,#N/A,C16:1 SM,[M+Na]+
HILIC-pos_Cluster_1593,6.455731,428.371690,1,Acyl carnitines,C18 carnitine,[M+H]+
C8-pos_Cluster_1525,12.387281,675.604039,1,Cholesteryl esters,C18:0 CE,[M+Na]+
C8-pos_Cluster_1502,12.372106,670.650143,#N/A,Cholesteryl esters,C18:0 CE,[M+NH4]+
C8-pos_Cluster_0949,5.303413,524.371152,9,1-acyl-sn-glycero-3-phosphocholines,C18:0 LPC,[M+H]+
HILIC-pos_Cluster_1899,7.570429,524.369027,#N/A,1-acyl-sn-glycero-3-phosphocholines,C18:0 LPC,[M+H]+
C8-pos_Cluster_0467,5.723050,381.296567,#N/A,1-monoacylglycerols,C18:0 MAG,[M+Na]+
C8-pos_Cluster_0446,5.719690,376.340419,#N/A,1-monoacylglycerols,C18:0 MAG,[M+NH4]+
C8-pos_Cluster_1758,8.557205,731.606607,1,Sphingolipids,C18:0 SM,[M+H]+
C8-pos_Cluster_0338,6.184319,345.336485,10,Monoalkylglycerols,C18:0e MAG,[M+H]+
C8-pos_Cluster_0410,6.190883,367.318449,10,Monoalkylglycerols,C18:0e MAG,[M+Na]+
HILIC-pos_Cluster_1586,6.477161,426.355876,3,Fatty acid esters,C18:1 carnitine,[M+H]+
C8-pos_Cluster_1490,12.043032,668.634054,#N/A,#N/A,C18:1 CE,[M+NH4]+
C8-pos_Cluster_1514,12.049957,673.589440,9,#N/A,C18:1 CE  ,[M+Na]+
C8-pos_Cluster_0945,4.938243,522.355717,#N/A,1-acyl-sn-glycero-3-phosphocholines,C18:1 LPC,[M+H]+
HILIC-pos_Cluster_1855,7.738521,508.374035,22,1-(1Z-alkenyl)-glycero-3-phosphocholines,C18:1 LPC plasmalogen*,[M+H]+
HILIC-pos_Cluster_1893,7.615695,522.353400,#N/A,1-acyl-sn-glycero-3-phosphocholines,C18:1 LPC*,[M+H]+
HILIC-pos_Cluster_1580,6.524092,424.340387,3,Acyl carnitines,C18:2 carnitine,[M+H]+
C8-pos_Cluster_1478,11.716127,666.618408,9,Cholesteryl esters,C18:2 CE,[M+NH4]+
C8-pos_Cluster_1504,11.726673,671.573482,9,Cholesteryl esters,C18:2 CE*,[M+Na]+
C8-pos_Cluster_0939,4.600409,520.340406,#N/A,1-acyl-sn-glycero-3-phosphocholines,C18:2 LPC,[M+H]+
C8-pos_Cluster_1468,11.452020,664.602057,#N/A,Cholesteryl esters,C18:3 CE,[M+NH4]+
C8-pos_Cluster_1494,11.453383,669.558808,9,Cholesteryl esters,C18:3 CE*,[M+Na]+
C8-pos_Cluster_0936,4.766593,518.321945,14,1-acyl-sn-glycero-3-phosphocholines,C18:3 LPC,[M+H]+
HILIC-pos_Cluster_0453,8.585624,204.122320,#N/A,#N/A,C2 carnitine,[M+H]+
HILIC-pos_Cluster_1691,6.358002,456.402781,#N/A,Acyl carnitines,C20 carnitine,[M+H]+
C8-pos_Cluster_0915,5.028875,510.356003,#N/A,1-acyl-sn-glycero-3-phosphoethanolamines,C20:0 LPE,[M+H]+
C8-pos_Cluster_1610,11.827710,692.632743,#N/A,Cholesteryl esters,C20:3 CE,[M+NH4]+
C8-pos_Cluster_1635,11.837011,697.588338,#N/A,Cholesteryl esters,C20:3 CE*,[M+Na]+
HILIC-pos_Cluster_1673,6.219689,448.340197,18,#N/A,C20:4 carnitine,[M+Na]+
C8-pos_Cluster_1623,11.573799,695.573841,9,Cholesteryl esters,C20:4 CE,[M+Na]+
C8-pos_Cluster_1597,11.569904,690.618702,9,Cholesteryl esters,C20:4 CE,[M+NH4]+
C8-pos_Cluster_1614,11.316771,693.560861,1,Cholesteryl esters,C20:5 CE,[M+Na]+
C8-pos_Cluster_1012,4.607839,542.321749,#N/A,1-acyl-sn-glycero-3-phosphocholines,C20:5 LPC,[M+Na]+
C8-pos_Cluster_1888,9.458030,787.669656,9,Sphingolipids,C22:0 SM,[M+H]+
C8-pos_Cluster_0678,6.778841,435.344659,#N/A,1-monoacylglycerols,C22:1 MAG,[M+Na]+
C8-pos_Cluster_1884,9.157656,785.653145,#N/A,Sphingolipids,C22:1 SM,[M+H]+
C8-pos_Cluster_1722,11.949042,718.649241,1,Cholesteryl esters,C22:4 CE,[M+NH4]+
C8-pos_Cluster_1742,11.950582,723.605699,1,Cholesteryl esters,C22:4 CE*,[M+Na]+
C8-pos_Cluster_1712,11.672278,716.636644,1,Cholesteryl esters,C22:5 CE,[M+Na]+
C8-pos_Cluster_1736,11.681478,721.593876,1,Cholesteryl esters,C22:5 CE*,[M+Na]+
C8-pos_Cluster_1726,11.439325,719.574628,#N/A,Cholesteryl esters,C22:6 CE,[M+Na]+
C8-pos_Cluster_1970,9.873400,815.697986,9,Sphingolipids,C24:0 SM,[M+H]+
C8-pos_Cluster_0868,6.457357,493.359345,#N/A,Triacylglycerols,C24:0 TAG,[M+Na]+
C8-pos_Cluster_1965,9.494136,813.684583,9,Sphingolipids,C24:1 SM,[M+H]+
C8-pos_Cluster_2019,9.493713,835.666318,1,Sphingolipids,C24:1 SM ,[M+Na]+
C8-pos_Cluster_1070,8.556091,563.467383,#N/A,"1,2-diacylglycerols",C30:0 DAG,[M+Na]+
C8-pos_Cluster_1186,9.032395,591.495675,#N/A,"1,2-diacylglycerols",C32:0 DAG,[M+Na]+
C8-pos_Cluster_1761,8.182908,732.555334,#N/A,Phosphatidylcholines,C32:1 PC,[M+H]+
C8-pos_Cluster_1146,8.383768,582.512028,#N/A,"1,2-diacylglycerols",C32:2 DAG*,[M+NH4]+
C8-pos_Cluster_1302,9.451524,619.526096,#N/A,"1,2-diacylglycerols",C34:0 DAG*,[M+Na]+
C8-pos_Cluster_1727,8.234821,720.552435,#N/A,Phosphatidylethanolamines,C34:0 PE,[M+H]+
C8-pos_Cluster_1277,9.166925,612.556705,#N/A,"1,2-diacylglycerols",C34:1 DAG*,[M+NH4]+
C8-pos_Cluster_1821,8.644594,760.585077,#N/A,Phosphatidylcholines,C34:1 PC,[M+H]+
C8-pos_Cluster_1800,8.937513,746.606622,1,"1-(1Z-alkenyl),2-acyl-glycerophosphocholines",C34:1 PC plasmalogen-A,[M+H]+
C8-pos_Cluster_1291,8.857822,615.496328,33,Lineolic acids and derivatives,C34:2 DAG,[M+Na]+
C8-pos_Cluster_1271,8.857536,610.541065,33,Lineolic acids and derivatives,C34:2 DAG*,[M+NH4]+
C8-pos_Cluster_1817,8.336180,758.569056,#N/A,Phosphatidylcholines,C34:2 PC,[M+H]+
C8-pos_Cluster_1282,8.566257,613.481674,1,Lineolic acids and derivatives,C34:3 DAG,[M+Na]+
C8-pos_Cluster_1262,8.565138,608.522785,1,Lineolic acids and derivatives,C34:3 DAG*,[M+NH4]+
C8-pos_Cluster_1393,9.841556,647.558665,#N/A,"1,2-diacylglycerols",C36:0 DAG,[M+Na]+
C8-pos_Cluster_1889,9.080408,788.615447,#N/A,Phosphatidylcholines,C36:1 PC,[M+H]+
C8-pos_Cluster_1377,9.289662,643.529436,#N/A,#N/A,C36:2 DAG,[M+Na]+
C8-pos_Cluster_1364,9.289324,638.572444,33,#N/A,C36:2 DAG*,[M+NH4]+
C8-pos_Cluster_1886,8.799074,786.599895,#N/A,#N/A,C36:2 PC,[M+H]+
C8-pos_Cluster_1856,9.078802,772.622539,2,"1-(1Z-alkenyl),2-acyl-glycerophosphocholines",C36:2 PC plasmalogen,[M+H]+
HILIC-pos_Cluster_2372,6.491711,786.596280,#N/A,#N/A,C36:2 PC*,[M+H]+
C8-pos_Cluster_1373,8.991042,641.512618,#N/A,Lineolic acids and derivatives,C36:3 DAG,[M+Na]+
C8-pos_Cluster_1358,8.989347,636.558642,33,Lineolic acids and derivatives,C36:3 DAG*,[M+NH4]+
C8-pos_Cluster_1879,8.497757,784.586819,#N/A,Phosphatidylcholines,C36:3 PC,[M+H]+
C8-pos_Cluster_1367,8.686175,639.497236,33,Lineolic acids and derivatives,C36:4 DAG,[M+Na]+
C8-pos_Cluster_1351,8.686777,634.541003,33,Lineolic acids and derivatives,C36:4 DAG*,[M+NH4]+
C8-pos_Cluster_1873,8.140944,782.570672,#N/A,Phosphatidylcholines,C36:4 PC-A,[M+H]+
C8-pos_Cluster_1874,8.357279,782.568897,#N/A,Phosphatidylcholines,C36:4 PC-B,[M+H]+
C8-pos_Cluster_1833,8.250746,766.578430,1,"1-(1Z-alkenyl),2-acyl-glycerophosphocholines",C36:5 PC plasmalogen-A,[M+H]+
C8-pos_Cluster_1835,8.644664,766.572988,#N/A,"1-(1Z-alkenyl),2-acyl-glycerophosphocholines",C36:5 PC plasmalogen-B,[M+H]+
C8-pos_Cluster_1473,8.943306,665.512314,#N/A,"1,2-diacylglycerols",C38:5 DAG*,[M+Na]+
HILIC-pos_Cluster_0790,8.496401,262.127486,1,Acyl carnitines,C3-DC-CH3 carnitine,[M+H]+
HILIC-pos_Cluster_0625,7.889518,232.153366,1,#N/A,C4 carnitine,[M+H]+
C8-pos_Cluster_1799,10.826807,745.631439,#N/A,#N/A,C42:0 TAG,[M+Na]+
C8-pos_Cluster_1791,10.824650,740.678078,#N/A,#N/A,C42:0 TAG,[M+NH4]+
C8-pos_Cluster_1861,11.187668,773.661475,#N/A,Triacylglycerols,C44:0 TAG,[M+Na]+
C8-pos_Cluster_1848,11.184397,768.708936,#N/A,Triacylglycerols,C44:0 TAG*,[M+NH4]+
C8-pos_Cluster_1854,10.928481,771.647572,#N/A,#N/A,C44:1 TAG,[M+Na]+
C8-pos_Cluster_1837,10.923041,766.692069,1,#N/A,C44:1 TAG,[M+NH4]+
C8-pos_Cluster_1932,11.526179,801.694860,#N/A,Triacylglycerols,C46:0 TAG,[M+Na]+
C8-pos_Cluster_1912,11.529201,796.739627,#N/A,Triacylglycerols,C46:0 TAG*,[M+NH4]+
C8-pos_Cluster_1922,11.275558,799.678727,#N/A,#N/A,C46:1 TAG,[M+Na]+
C8-pos_Cluster_1907,11.276498,794.722711,#N/A,#N/A,C46:1 TAG*,[M+NH4]+
C8-pos_Cluster_1915,11.024304,797.661789,#N/A,Triacylglycerols,C46:2 TAG,[M+Na]+
C8-pos_Cluster_1902,11.023945,792.705520,#N/A,Triacylglycerols,C46:2 TAG*,[M+NH4]+
C8-pos_Cluster_2003,11.860174,829.724585,#N/A,#N/A,C48:0 TAG,[M+Na]+
C8-pos_Cluster_1992,11.861366,824.769991,#N/A,#N/A,C48:0 TAG*,[M+NH4]+
C8-pos_Cluster_1997,11.609059,827.710874,#N/A,#N/A,C48:1 TAG,[M+Na]+
C8-pos_Cluster_1995,11.362544,825.694264,#N/A,Triacylglycerols,C48:2 TAG,[M+Na]+
C8-pos_Cluster_1976,11.367011,820.737416,#N/A,Triacylglycerols,C48:2 TAG*,[M+NH4]+
C8-pos_Cluster_1987,11.118497,823.679486,#N/A,Triacylglycerols,C48:3 TAG,[M+Na]+
C8-pos_Cluster_1980,10.864176,821.664125,#N/A,#N/A,C48:4 TAG,[M+Na]+
C8-pos_Cluster_2022,11.764544,836.770600,#N/A,#N/A,C49:1 TAG,[M+NH4]+
C8-pos_Cluster_2088,12.228235,857.756895,#N/A,Triacylglycerols,C50:0 TAG,[M+Na]+
C8-pos_Cluster_2081,11.954180,855.741439,#N/A,Triacylglycerols,C50:1 TAG,[M+Na]+
C8-pos_Cluster_2064,11.953231,850.785964,33,Triacylglycerols,C50:1 TAG*,[M+NH4]+
C8-pos_Cluster_2075,11.695456,853.726038,#N/A,#N/A,C50:2 TAG,[M+Na]+
C8-pos_Cluster_2069,11.456274,851.709849,#N/A,#N/A,C50:3 TAG,[M+Na]+
C8-pos_Cluster_2046,11.453267,846.754105,#N/A,#N/A,C50:3 TAG*,[M+NH4]+
C8-pos_Cluster_2056,11.215287,849.693242,#N/A,#N/A,C50:4 TAG,[M+Na]+
C8-pos_Cluster_2040,11.211007,844.740122,#N/A,#N/A,C50:4 TAG*,[M+NH4]+
C8-pos_Cluster_2048,10.955001,847.680515,#N/A,#N/A,C50:5 TAG,[M+Na]+
C8-pos_Cluster_2130,12.403503,871.768451,#N/A,Triacylglycerols,C51:0 TAG*,[M+Na]+
C8-pos_Cluster_2117,11.862853,867.742378,#N/A,Triacylglycerols,C51:2 TAG*,[M+Na]+
C8-pos_Cluster_2102,11.864224,862.785469,#N/A,Triacylglycerols,C51:2 TAG*,[M+NH4]+
C8-pos_Cluster_2094,11.611665,860.770334,#N/A,#N/A,C51:3 TAG*,[M+NH4]+
C8-pos_Cluster_2168,12.605217,885.787857,#N/A,Triacylglycerols,C52:0 TAG,[M+Na]+
C8-pos_Cluster_2154,12.610295,880.832798,#N/A,Triacylglycerols,C52:0 TAG*,[M+NH4]+
C8-pos_Cluster_2161,12.311181,883.772469,#N/A,Triacylglycerols,C52:1 TAG,[M+Na]+
C8-pos_Cluster_2147,12.304073,878.810885,1,Triacylglycerols,C52:1 TAG*,[M+NH4]+
C8-pos_Cluster_2156,12.046012,881.757443,#N/A,#N/A,C52:2 TAG,[M+Na]+
C8-pos_Cluster_2140,12.044946,876.802961,33,#N/A,C52:2 TAG*,[M+NH4]+
C8-pos_Cluster_2149,11.790252,879.741796,33,Triacylglycerols,C52:3 TAG,[M+Na]+
C8-pos_Cluster_2136,11.787681,874.786794,33,Triacylglycerols,C52:3 TAG*,[M+NH4]+
C8-pos_Cluster_2141,11.540259,877.725965,33,#N/A,C52:4 TAG,[M+Na]+
C8-pos_Cluster_2132,11.539806,872.771430,33,#N/A,C52:4 TAG*,[M+NH4]+
C8-pos_Cluster_2138,11.307026,875.712613,9,Triacylglycerols,C52:5 TAG,[M+Na]+
C8-pos_Cluster_2124,11.307079,870.755439,9,Triacylglycerols,C52:5 TAG*,[M+NH4]+
C8-pos_Cluster_2134,11.066022,873.694315,9,#N/A,C52:6 TAG,[M+Na]+
C8-pos_Cluster_2119,11.066136,868.738923,1,#N/A,C52:6 TAG*,[M+NH4]+
C8-pos_Cluster_2128,10.821649,871.682557,#N/A,#N/A,C52:7 TAG,[M+Na]+
C8-pos_Cluster_2192,11.968144,893.756600,#N/A,#N/A,C53:3 TAG*,[M+Na]+
C8-pos_Cluster_2178,11.962170,888.798113,#N/A,#N/A,C53:3 TAG*,[M+NH4]+
C8-pos_Cluster_2242,12.688230,911.805326,#N/A,Triacylglycerols,C54:1 TAG,[M+Na]+
C8-pos_Cluster_2240,12.407129,909.790505,33,#N/A,C54:2 TAG,[M+Na]+
C8-pos_Cluster_2233,12.150266,907.772896,33,Triacylglycerols,C54:3 TAG,[M+Na]+
C8-pos_Cluster_2218,12.147274,902.816707,33,Triacylglycerols,C54:3 TAG*,[M+NH4]+
C8-pos_Cluster_2226,11.891407,905.756823,33,#N/A,C54:4 TAG,[M+Na]+
C8-pos_Cluster_2211,11.888264,900.802205,33,#N/A,C54:4 TAG*,[M+NH4]+
C8-pos_Cluster_2220,11.640319,903.742499,33,#N/A,C54:5 TAG,[M+Na]+
C8-pos_Cluster_2207,11.637870,898.786339,33,#N/A,C54:5 TAG*,[M+NH4]+
C8-pos_Cluster_2215,11.397791,901.725337,33,Triacylglycerols,C54:6 TAG,[M+Na]+
C8-pos_Cluster_2201,11.395511,896.771255,33,Triacylglycerols,C54:6 TAG*,[M+NH4]+
C8-pos_Cluster_2210,11.166372,899.709334,9,Triacylglycerols,C54:7 TAG,[M+Na]+
C8-pos_Cluster_2202,10.918401,897.696173,9,Triacylglycerols,C54:8 TAG,[M+Na]+
C8-pos_Cluster_2197,10.673255,895.679848,2,#N/A,C54:9 TAG,[M+Na]+
C8-pos_Cluster_2284,12.586698,923.799300,#N/A,#N/A,C55:2 TAG*,[M+Na]+
C8-pos_Cluster_2277,12.315409,921.785871,#N/A,#N/A,C55:3 TAG*,[M+Na]+
C8-pos_Cluster_2319,13.109150,939.834558,#N/A,Triacylglycerols,C56:1 TAG,[M+Na]+
C8-pos_Cluster_2308,13.106710,934.879787,#N/A,Triacylglycerols,C56:1 TAG*,[M+NH4]+
C8-pos_Cluster_2313,12.791268,937.820021,33,#N/A,C56:2 TAG,[M+Na]+
C8-pos_Cluster_2306,12.789232,932.864434,#N/A,#N/A,C56:2 TAG*,[M+NH4]+
C8-pos_Cluster_2311,12.502167,935.805034,33,#N/A,C56:3 TAG,[M+Na]+
C8-pos_Cluster_2303,12.499672,930.847883,33,#N/A,C56:3 TAG*,[M+NH4]+
C8-pos_Cluster_2307,12.234596,933.789253,33,#N/A,C56:4 TAG,[M+Na]+
C8-pos_Cluster_2297,12.231816,928.833760,33,#N/A,C56:4 TAG*,[M+NH4]+
C8-pos_Cluster_2304,11.970845,931.772886,#N/A,Triacylglycerols,C56:5 TAG,[M+Na]+
C8-pos_Cluster_2300,11.721509,929.758223,#N/A,#N/A,C56:6 TAG,[M+Na]+
C8-pos_Cluster_2286,11.729345,924.801313,#N/A,#N/A,C56:6 TAG*,[M+NH4]+
C8-pos_Cluster_2293,11.482028,927.743962,#N/A,Triacylglycerols,C56:7 TAG,[M+Na]+
C8-pos_Cluster_2345,12.067555,957.790733,#N/A,#N/A,C58:6 TAG,[M+Na]+
C8-pos_Cluster_2341,11.816957,955.767833,#N/A,Triacylglycerols,C58:7 TAG,[M+Na]+
HILIC-pos_Cluster_0405,2.823607,195.087190,#N/A,Purines and purine derivatives,caffeine,[M+H]+
HILIC-neg_Cluster_0064,3.727128,115.076515,2,Medium-chain fatty acids,caproic acid,[M-H]-
HILIC-neg_Cluster_0156,3.603307,143.107448,1,Medium-chain fatty acids,caprylic acid,[M-H]-
HILIC-pos_Cluster_0230,8.756221,162.111937,1,Quaternary ammonium salts,carnitine,[M+H]+
HILIC-pos_Cluster_0590,9.298983,227.113060,1,Peptidomimetics,carnosine,[M+H]+
C18-neg_Cluster_0486,10.794002,329.175684,2,Diterpene lactones,carnosol,[M-H]-
