# Feature / Sample,PRISM|7122,PRISM|7147,PRISM|7150,PRISM|7153,PRISM|7184,PRISM|7238,PRISM|7406,PRISM|7408,PRISM|7421,PRISM|7445,PRISM|7486,PRISM|7496,PRISM|7506,PRISM|7547,PRISM|7658,PRISM|7662,PRISM|7744,PRISM|7759,PRISM|7762,PRISM|7776,PRISM|7791,PRISM|7843,PRISM|7847,PRISM|7852,PRISM|7855,PRISM|7858,PRISM|7860,PRISM|7861,PRISM|7862,PRISM|7870,PRISM|7874,PRISM|7875,PRISM|7879,PRISM|7897,PRISM|7899,PRISM|7904,PRISM|7906,PRISM|7908,PRISM|7909,PRISM|7910,PRISM|7911,PRISM|7912,PRISM|7938,PRISM|7941,PRISM|7947,PRISM|7948,PRISM|7955,PRISM|7971,PRISM|7989,PRISM|8095,PRISM|8096,PRISM|8101,PRISM|8106,PRISM|8129,PRISM|8226,PRISM|8244,PRISM|8264,PRISM|8275,PRISM|8283,PRISM|8332,PRISM|8336,PRISM|8361,PRISM|8374,PRISM|8377,PRISM|8406,PRISM|8441,PRISM|8444,PRISM|8447,PRISM|8452,PRISM|8458,PRISM|8462,PRISM|8464,PRISM|8466,PRISM|8467,PRISM|8475,PRISM|8480,PRISM|8483,PRISM|8485,PRISM|8496,PRISM|8502,PRISM|8503,PRISM|8511,PRISM|8513,PRISM|8515,PRISM|8523,PRISM|8534,PRISM|8537,PRISM|8550,PRISM|8564,PRISM|8565,PRISM|8573,PRISM|8577,PRISM|8589,PRISM|8591,PRISM|8592,PRISM|8605,PRISM|8624,PRISM|8628,PRISM|8629,PRISM|8667,PRISM|8675,PRISM|8683,PRISM|8692,PRISM|8696,PRISM|8728,PRISM|8734,PRISM|8735,PRISM|8746,PRISM|8749,PRISM|8753,PRISM|8754,PRISM|8758,PRISM|8764,PRISM|8765,PRISM|8774,PRISM|8776,PRISM|8778,PRISM|8783,PRISM|8784,PRISM|8785,PRISM|8788,PRISM|8789,PRISM|8794,PRISM|8795,PRISM|8800,PRISM|8802,PRISM|8803,PRISM|8805,PRISM|8806,PRISM|8807,PRISM|8809,PRISM|8815,PRISM|8841,PRISM|8843,PRISM|8844,PRISM|8846,PRISM|8847,PRISM|8849,PRISM|8878,PRISM|8882,PRISM|8892,PRISM|8894,PRISM|8898,PRISM|8924,PRISM|8932,PRISM|8982,PRISM|8998,PRISM|9010,PRISM|9018,PRISM|9030,PRISM|9033,PRISM|9074,PRISM|9079,PRISM|9126,PRISM|9148,Validation|LLDeep_0001,Validation|LLDeep_0003,Validation|LLDeep_0010,Validation|LLDeep_0011,Validation|LLDeep_0012,Validation|LLDeep_0015,Validation|LLDeep_0018,Validation|LLDeep_0021,Validation|LLDeep_0022,Validation|LLDeep_0024,Validation|LLDeep_0026,Validation|LLDeep_0027,Validation|LLDeep_0028,Validation|LLDeep_0029,Validation|LLDeep_0030,Validation|LLDeep_0033,Validation|LLDeep_0034,Validation|LLDeep_0037,Validation|LLDeep_0039,Validation|LLDeep_0043,Validation|LLDeep_0047,Validation|LLDeep_0052,Validation|UMCGIBD00072,Validation|UMCGIBD00122,Validation|UMCGIBD00030,Validation|UMCGIBD00167,Validation|UMCGIBD00208,Validation|UMCGIBD00032,Validation|UMCGIBD00529,Validation|UMCGIBD00371,Validation|UMCGIBD00145,Validation|UMCGIBD00613,Validation|UMCGIBD00004,Validation|UMCGIBD00053,Validation|UMCGIBD00269,Validation|UMCGIBD00250,Validation|UMCGIBD00327,Validation|UMCGIBD00249,Validation|UMCGIBD00461,Validation|UMCGIBD00266,Validation|UMCGIBD00347,Validation|UMCGIBD00645,Validation|UMCGIBD00361,Validation|UMCGIBD00485,Validation|UMCGIBD00041,Validation|UMCGIBD00126,Validation|UMCGIBD00082,Validation|UMCGIBD00442,Validation|UMCGIBD00412,Validation|UMCGIBD00539,Validation|UMCGIBD00077,Validation|UMCGIBD00141,Validation|UMCGIBD00389,Validation|UMCGIBD00112,Validation|UMCGIBD00508,Validation|UMCGIBD00588,Validation|UMCGIBD00106,Validation|UMCGIBD00393,Validation|UMCGIBD00458,Validation|UMCGIBD00254,Validation|UMCGIBD00593,Validation|UMCGIBD00233,Validation|UMCGIBD00238,Validation|UMCGIBD00027,Validation|UMCGIBD00064
SRA_metagenome_name,G36386,G48796,G48780,G36390,G36356,G36387,G48804,G48815,G36378,G36381,G36379,G72672,G48799,G48823,G36351,G72717,G36371,G36380,G72673,G72674,G36368,G36369,G72718,G72675,G72719,G72720,G72721,G72722,G72723,G72724,G72725,G36348,G72726,G72676,G72727,G72733,G72734,G72728,G72729,G72735,G72730,G72731,G36382,G36349,G36374,G36350,G72732,G36347,G36383,G36370,G72677,G72678,G72679,G72680,G36389,G48787,G36384,G48781,G48798,G48783,G36385,G36392,G36357,G36372,G48827,G72681,G72682,G72683,G36354,G72684,G36352,G72685,G36365,G36353,G36355,G72686,G36394,G36366,G36358,G72687,G72688,G72689,G72690,G72691,G36360,G36361,G35127,G36359,G36362,G48806,G36367,G35128,G72714,G36363,G36395,G72692,G36375,G72693,G36396,G72694,G35152,G72715,G72695,G72696,G48791,G48784,G48840,G48805,G48820,G48777,G48789,G48786,G48792,G48790,G48831,G48793,G48794,G48795,G48826,G48802,G48808,G72716,G48807,G72697,G48810,G48817,G48812,G48814,G48819,G48841,G48822,G48821,G48842,G48839,G72698,G48832,G48838,G48836,G72671,G72699,G72670,G72701,G72702,G72703,G72704,G72705,G72713,G72706,G72708,G72709,G72710,G72711,G72712,G72736,G72737,G83321,G83168,G83192,G82952,G82627,G83955,G83885,G84147,G83001,G83234,G82738,G83335,G82708,G83327,G82698,G83913,G82666,G82589,G82786,G83901,G83831,G84104,G85420,G85171,G85128,G85127,G85384,G85185,G85117,G85182,G85404,G85246,G85364,G85199,G85379,G85129,G85089,G85161,G85315,G85361,G85165,G85245,G85291,G85408,G85226,G85180,G85387,G85230,G85401,G85373,G85163,G85369,G85385,G85213,G85181,G85257,G85419,G85340,G85418,G85122,G85136,G85405,G85166,G85210,G85342
Parabacteroides_goldsteinii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037347,0,0,0,0,0,0.0013678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583971,0,0,0,0,0,0,0,0,0,0,0.0021897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000212,0,0,0,0.0010841,0,0.0000098,0.0023903,0.0000297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parabacteroides_merdae,0.263068,0.0000172,0.0000654,0,0.0053481,0,0.0000257,0.0054133,0,0,0.0099095,0,0.0481025,0.0310238,0.0000466,0.0071532,0.0098496,0,0,0,0,0,0.0290015,0,0.0069754,0,0,0,0.0136489,0.0012406,0,0,0.0127954,0,0.0267454,0,0,0,0.0215145,0.0012788,0,0,0,0,0,0,0,0,0,0,0.0101833,0,0,0.003092,0,0.0000328,0,0.001061,0.0138015,0.0186757,0,0.0086701,0,0.000003,0.0000179,0,0.0052187,0.0001437,0,0,0.0000046,0,0.0216922,0.0407618,0,0,0,0.071658,0,0,0,0,0,0.000646,0,0,0,0,0.0719178,0.0001528,0.0016382,0.0029737,0.0003144,0.089237,0.0001964,0,0.016131,0,0,0.0200563,0,0.0001804,0,0,0.0460318,0.0000203,0.0070465,0.0000334,0.0865972,0.0000312,0.0242725,0,0.0000887,0.0002511,0.0000193,0.0041365,0.0188911,0.0810851,0.0000184,0.128817,0.007893,0.007334,0.0000321,0,0.0126372,0.0665632,0.0000294,0.000034,0.0000124,0.0000163,0.0000192,0.0000221,0.0000225,0.0312608,0.0038889,0.0000088,0.0019771,0.0000174,0.0119163,0,0,0.0001678,0,0.0242333,0,0.0018688,0,0,0,0,0.0001801,0,0,0.0342262,0.065954,0.0005574,0,0.0040852,0.0098675,0.0012294,0,0.0016703,0,0,0.0023629,0,0,0.0046189,0,0,0.0048967,0.0020266,0.0000048,0,0.0003547,0,0,0,0.0011597,0,0.0046206,0,0,0.0106311,0,0,0.0121397,0,0.0079644,0,0,0.0210295,0.0074877,0,0.0021702,0.0033309,0,0.0103892,0,0,0,0,0,0.0015078,0,0.0001533,0,0.0039799,0.0054838,0,0,0,0,0.0015753,0,0.0082559,0,0,0.007207,0
Parabacteroides_unclassified,0,0.0007077,0,0,0,0.0584098,0,0,0.0000772,0,0,0.000339,0,0,0,0,0,0.0007043,0,0,0.000787,0.0000376,0,0.0034565,0,0.0006109,0.0054776,0.0012163,0,0,0.0002132,0,0,0,0,0,0,0,0,0,0.0003028,0.0130473,0,0.0000368,0,0.0000608,0.0000763,0,0.0000172,0.0000166,0,0.0206772,0,0,0,0,0,0.0003774,0,0,0,0,0.019944,0,0.0000089,0,0.0003601,0.0015248,0,0,0,0,0,0,0.0017738,0,0.0007368,0.0305256,0,0,0.0063191,0.002406,0.012937,0,0,0,0,0,0,0.0002426,0,0,0,0,0,0.0005678,0,0.0000976,0,0,0,0,0,0.0045161,0.0085881,0,0,0,0.269312,0.0300863,0,0,0.10106,0.0003725,0.0413715,0,0,0.0715489,0.0391322,0,0,0,0.0000306,0.0568929,0,0,0.0010738,0,0.0000159,0.0000029,0.0000035,0.0000035,0.0000173,0,0.150952,0.0193073,0.0248573,0.0000131,0.0199294,0.0037613,0,0.0103902,0,0.0171553,0.222161,0.0009108,0.0185922,0,0,0.0542711,0.0022,0,0,0,0,0.0013607,0.0014767,0.0057982,0,0,0.0030783,0.0004591,0,0.0026504,0,0,0.0002299,0,0.0000483,0.0009718,0,0,0.0000663,0,0,0.0013684,0.0010305,0,0,0.0003096,0.0094611,0.0003404,0,0,0,0,0,0.0117539,0,0.0127971,0,0,0,0,0,0,0.0022882,0,0,0,0.0032178,0.0058413,0,0.0024704,0,0.0006953,0,0,0,0.002919,0.000655,0.0608105,0.0044803,0,0,0,0,0.0067363,0,0
Paraprevotella_clara,0,0,0,0,0,0,0,0.0018656,0,0,0,0,0,0,0,0,0.0002642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017371,0,0.0017741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001383,0,0.0000514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023986,0,0,0,0,0,0,0,0,0,0,0,0,0.0045441,0,0,0,0,0,0,0,0,0.0022422,0,0,0,0,0,0,0.0019965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026987,0,0,0,0,0,0,0,0,0.0008395,0,0,0,0,0.0010003,0,0,0,0,0.0017315,0,0,0.0010062,0.0002029,0,0.0001724,0,0.0010912,0,0,0,0,0,0,0,0,0,0,0.0000244,0,0,0.0001831,0.000205,0.0160819,0.0008752,0,0,0,0,0,0.0021388,0,0,0,0.0003688,0.0057318,0,0,0,0,0.0008952,0,0,0,0,0.0003656,0,0,0,0,0,0,0,0,0,0,0,0.0002352,0,0,0,0,0,0
Paraprevotella_unclassified,0,0,0,0,0,0,0,0.0050043,0,0,0,0,0,0,0,0,0.000897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047089,0,0.0079378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004327,0,0.0002489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003569,0,0,0,0,0,0,0,0,0,0.0000627,0,0,0.0099802,0,0,0,0,0,0,0,0,0.0047775,0,0,0,0,0,0,0.0099358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086079,0,0,0,0,0,0,0,0,0.0040729,0,0,0,0,0.0025521,0,0,0,0,0.0020243,0,0,0.0039579,0.0005838,0,0.0006093,0,0.0031414,0,0,0,0,0,0,0,0.0000817,0,0,0.0001504,0,0,0.0005309,0.0012966,0.0101363,0.0014194,0,0,0,0,0,0.0040799,0,0,0,0.0008284,0.0238361,0,0,0,0,0.0027616,0,0,0,0,0.0046547,0,0,0,0,0,0,0,0,0,0,0,0.0008022,0,0,0,0,0,0
Prevotella_copri,0,0.0000312,0.0000546,0,0,0,0.0000379,0.0000732,0,0,0,0,0.0000359,0.0000258,0,0,0.0354395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437382,0.0176522,0,0,0,0.0836343,0.0139384,0,0,0,0,0,0,0,0.0000138,0,0,0,0,0,0,0,0,0.0000812,0,0.0000804,0.0000433,0.0000395,0,0,0.0008941,0,0.0000248,0,0,0,0,0.0241676,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000708,0.125082,0,0.0000322,0,0,0.0003223,0.0043528,0,0.0047048,0.0150616,0,0,0.0009415,0,0,0,0.0000123,0.119771,0,0,0.0316016,0.0000413,0.0000766,0.0000359,0.0000383,0.0000589,0.0603761,0.0000041,0.0001466,0.0783209,0.0000302,0.302838,0.0000274,0.0000542,0.0000724,0.0000479,0.33692,0.278546,0.000047,0,0.0000257,0.0000441,0.0000379,0.0000645,0.0000199,0.0000255,0.0000357,0.0000221,0.000056,0.0000265,0,0.0000326,0.0000485,0.0000193,0,0,0,0,0.331195,0.0000753,0,0,0,0,0,0.22023,0.0545792,0,0.467503,0,0,0.013167,0,0,0,0,0,0.004225,0.0005331,0,0.0041034,0,0,0,0,0.0075613,0,0.0025326,0,0,0.0028897,0,0,0,0.119563,0,0.0428726,0,0,0,0,0,0.0404732,0,0,0,0,0,0,0,0.0200136,0,0.272297,0,0,0,0,0,0,0,0,0.0065594,0,0,0,0.0017591,0.0002802,0,0,0,0,0,0,0,0,0
Alistipes_finegoldii,0,0.0000051,0.110834,0,0,0,0,0.0024123,0,0,0,0,0.0000071,0.0008806,0,0.0021784,0.0009493,0,0,0,0,0,0,0,0.0037392,0.0000678,0.0006478,0.0001415,0,0.0000683,0.0095766,0,0.0010603,0.0000914,0.0006941,0.0097111,0.0015802,0,0.0000277,0.0003374,0,0.0022746,0,0,0,0,0.0008219,0,0,0,0,0.0031509,0,0,0,0.0042542,0,0.0003143,0.007736,0.0020008,0,0.0000042,0,0.0000141,0,0.0001151,0.0003022,0.0000948,0,0.0016973,0,0,0,0,0,0,0.0000222,0.000297,0,0,0.0001988,0,0,0,0,0,0,0,0,0,0,0.0000811,0,0,0,0.0002233,0.0012472,0.0007513,0,0.0001191,0,0,0,0,0.0057598,0.0025972,0,0,0,0.0027645,0.0003475,0,0.0034096,0.0150467,0.0247629,0.0004648,0.0065346,0,0,0.0026379,0,0.0002965,0.0016034,0,0.0003534,0.00175,0.001047,0.0001642,0,0.0092931,0,0,0.0000011,0.0104776,0,0,0.0049077,0,0.000146,0,0,0,0,0,0,0.0028831,0,0.0160819,0,0,0,0,0.0001827,0,0,0,0,0.0073181,0.0070801,0,0,0.0027231,0.0004449,0.0012119,0.001046,0.0001326,0.0000524,0.0000025,0,0.0014853,0.0002851,0.0000507,0.0011181,0.0030932,0,0.0001404,0.0005734,0,0,0,0.0018506,0.0004148,0,0.0017891,0,0,0.0002676,0,0.0018942,0.0002318,0,0,0.0015543,0,0.0003887,0,0,0,0.0029505,0,0,0.0001372,0,0.0000874,0,0.0000539,0,0,0,0.0004968,0,0,0.0112285,0.0049452,0,0,0,0.0010692,0,0
Alistipes_indistinctus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002148,0,0,0,0.0000265,0,0,0.0002229,0.0000252,0.0005109,0.0003208,0,0.0008732,0.0001347,0,0.0032878,0,0.0025909,0,0,0,0.0001342,0,0,0,0,0.0011931,0,0,0,0,0,0,0,0,0,0.0021408,0,0,0,0,0,0,0,0,0,0,0.0151509,0.0002222,0,0.0001862,0.001733,0.0000346,0,0,0,0,0,0,0,0,0.0008206,0,0,0,0,0,0.0019751,0,0,0,0,0,0,0,0.0000414,0,0.0020714,0,0,0,0,0.0008145,0,0,0,0,0,0,0.014386,0,0,0,0,0,0.0061927,0,0,0.0003315,0.0014534,0.0016776,0.0002964,0,0.0064306,0.0001034,0.0010964,0.00328,0,0,0,0.0028399,0,0,0,0,0,0,0,0.0001622,0,0,0.0016979,0,0,0,0,0.0003758,0,0.0032629,0,0.0046956,0,0,0,0,0,0,0,0,0.0000715,0.0015127,0,0,0.0020824,0.000101,0,0.0070859,0,0.0012111,0.0018599,0,0.0001758,0.0003059,0.00022,0.0006164,0.0014997,0,0.0008708,0,0,0.0004073,0.0001397,0,0,0,0,0.0003129,0,0,0,0,0,0,0,0.001572,0,0,0,0,0.0003352,0,0,0,0,0,0,0,0,0.0010022,0,0,0,0,0,0.0073299,0,0,0.0027711,0,0,0,0,0,0,0
Alistipes_onderdonkii,0,0.0255914,0.0251561,0,0.0202092,0,0.0000013,0.0084292,0,0,0,0.0009108,0.0000268,0.0000199,0.00005,0.0012243,0.0040944,0,0,0,0.0003381,0,0.0045895,0.0007343,0.0013078,0.0086081,0.0028194,0.0028467,0.0224148,0.0016089,0.0442564,0,0.0018063,0.0013275,0.002642,0.0416258,0,0,0.0076998,0.0030914,0,0.0053224,0,0,0,0,0.0016557,0,0,0,0,0.0434328,0,0,0,0.126415,0,0.0012943,0.0147667,0.0183201,0,0.00408,0,0.0000576,0.0000236,0.0053083,0.0008673,0.0047735,0,0.065066,0,0,0,0.0446165,0,0,0.0032276,0,0,0,0.0008846,0,0.0034509,0.0000163,0,0,0,0,0.0007791,0.0001858,0,0.0012689,0.0000596,0,0,0,0.0441948,0.0257141,0,0,0,0.0003506,0.0340994,0,0.0183538,0.0228049,0.0000706,0.0000178,0.00003,0.005517,0.0077697,0,0.0002591,0.0006247,0.000054,0.0007399,0.0264496,0.0000253,0.0000322,0.0099472,0.0003418,0.0011552,0.0513374,0.0000158,0.0030261,0.0386172,0.0041727,0.0000713,0.0000151,0.353071,0.0000093,0.0000164,0.0000217,0.0005038,0,0.0000056,0.0173631,0.0000147,0.0000645,0,0,0.0504945,0.0001012,0.0000066,0,0.065232,0,0.157275,0,0,0,0,0.009226,0.0001333,0,0.0000967,0,0.0033137,0.0127543,0.0001505,0.0008476,0.0419045,0.0007938,0.0003321,0.0026731,0.0006551,0.0013336,0,0,0.0014826,0.0017636,0.0001696,0.0005113,0,0,0.0009364,0.0011485,0,0,0,0.0045046,0.0081703,0,0.029531,0,0,0,0,0.0064531,0.0052986,0,0,0.0762759,0,0.0010756,0.0054753,0,0,0,0,0,0.0050717,0,0.0083872,0,0.0000952,0,0.0014149,0.0034862,0.0051087,0,0,0.0229732,0,0,0,0,0,0,0
Alistipes_putredinis,0,0.0000399,0.0000863,0,0.0070981,0,0.000032,0.0754191,0,0,0,0,0.100038,0.165404,0.0051055,0.0171876,0,0,0,0,0,0,0.0920357,0.0051642,0.0213286,0,0,0.0019743,0.0395114,0.0077821,0.0172541,0,0.0356524,0,0.048462,0,0.007668,0,0.0668771,0.0096043,0,0.0920392,0,0,0.0363954,0,0.0000372,0,0,0,0,0.132721,0,0.0025442,0,0.0000614,0,0.0065483,0.0721152,0.0162156,0,0.0229379,0,0.0000334,0.0000322,0.0038394,0.0108194,0.0117063,0,0.0237219,0,0,0,0,0,0.0055872,0.0076711,0.0239841,0,0,0.0094328,0,0.0099428,0.004441,0,0,0,0,0.0171855,0.0002837,0,0.0553896,0,0,0.0015013,0.0108008,0,0.0135094,0,0,0,0,0.0679808,0,0.0184398,0.0977453,0.0041801,0.0000341,0.0000307,0.0000382,0.0419865,0,0.0000934,0.0336854,0.102342,0.0006799,0.0983748,0.0000306,0.0001078,0.0291288,0.0558984,0.0439289,0.0000424,0.0553211,0.0313021,0.0306706,0.0389437,0.0000856,0.0000227,0.000022,0.0000178,0.0000582,0.0000435,0.0457073,0.0000098,0.0000339,0.0595061,0.0000236,0.0749238,0.0005024,0,0.0520562,0.0202899,0.0484615,0,0.0472846,0,0,0,0,0,0,0,0.0880077,0.0589369,0.0016911,0,0,0.0269414,0.0066729,0.0155993,0.0470124,0.0691539,0.0174833,0.0095472,0,0.0048481,0.010432,0,0.0076352,0.0138333,0.0046047,0.009638,0.0031472,0.0008385,0.0061957,0.0050535,0.0000139,0.0030823,0,0.0088489,0.0221695,0,0.0139948,0,0,0,0,0,0,0,0.0001015,0.028036,0,0.0095684,0.0382166,0,0,0,0,0,0.0266958,0,0.0357731,0,0,0,0.0068631,0,0.0380628,0,0.0003092,0.0158207,0.0049288,0,0.0022179,0,0.0386123,0,0
Alistipes_senegalensis,0,0.0000032,0,0,0,0,0,0,0,0,0,0,0.0023535,0,0,0.0020313,0.0005264,0,0,0,0,0,0.0000119,0,0.0009081,0,0,0.0000281,0,0,0,0,0.0009619,0,0.0000483,0,0.0001414,0,0.0000151,0,0,0.0000019,0,0,0,0,0.0000029,0,0,0,0,0,0,0,0,0,0,0.0000785,0,0,0,0,0,0,0,0,0.0007147,0.0000054,0,0,0,0,0,0,0,0,0,0,0,0,0.0001048,0,0,0,0,0,0,0,0,0,0,0.0003381,0,0,0,0,0,0.0010587,0,0,0,0,0,0,0,0,0,0,0,0,0.0005787,0,0.0000063,0.0077199,0,0.0001401,0.0007833,0,0,0.0008913,0.0003802,0.0011861,0.0019812,0,0,0,0,0,0,0,0,0,0,0.0000253,0,0,0,0,0,0,0,0.0003251,0,0,0,0.0005841,0,0,0,0,0.0000426,0,0,0.0006716,0.0001756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes_shahii,0,0.0001276,0.0000059,0,0,0,0,0,0,0,0,0,0,0.0222745,0.000224,0.0043668,0.0001187,0,0,0.0003178,0,0,0.0229349,0,0.0060409,0.0002619,0,0.0012239,0.0051223,0.0008564,0.0022657,0,0.0238281,0,0.0120816,0,0.0026528,0,0.0115917,0.0010322,0,0.011623,0,0,0,0,0.0024548,0,0,0,0,0.0189365,0,0,0,0.0000053,0,0.0006635,0.000002,0.0227547,0,0,0,0.001642,0,0.001475,0.0005329,0.0002951,0,0,0,0,0,0,0,0.0002251,0,0,0,0,0.0151449,0,0.0115546,0,0,0,0,0,0,0.0000235,0.0000123,0.0133182,0.0016285,0,0,0,0.0016381,0.010344,0,0,0,0,0.0033492,0,0.0084975,0.0000071,0.0026406,0,0,0,0.0025131,0,0.0497233,0.0320552,0.0000141,0.0081221,0.0106354,0,0.0296896,0.0056494,0.0096852,0.0008317,0.0000019,0,0,0,0.0000071,0.0000018,0.0000004,0.0000044,0,0,0.0009624,0.00771,0,0,0.0039122,0,0.0062608,0,0,0.0221106,0.0035321,0,0,0.0022319,0,0,0,0,0.0001635,0,0,0.0101305,0.0251216,0.0007435,0,0.0057969,0.0067701,0.0022092,0.0028409,0.0027768,0.0030457,0.0057789,0.0016499,0,0.0004247,0.0008836,0,0.000322,0.0058747,0.0000887,0.0037893,0,0,0.0002356,0.0006292,0,0.0000171,0,0.0007035,0.0087872,0,0.0026392,0,0,0.0028318,0,0,0,0,0,0,0,0.0006383,0,0,0,0.0024011,0,0,0.0035814,0,0.0019484,0,0,0,0.0005412,0.0013295,0.0015912,0,0,0,0.0132944,0,0,0,0.0029917,0,0
Alistipes_sp_AP11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0060659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110312,0,0,0,0,0,0,0.0020799,0,0.0020987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028872,0,0,0,0,0,0.0007303,0,0,0,0,0,0.0106085,0,0,0.0007312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009995,0,0,0,0,0,0,0,0,0.0143936,0,0.0062291,0,0,0,0,0,0,0,0,0,0,0.0029851,0,0,0,0,0,0,0,0,0,0,0,0.0106385,0,0.0036852,0,0,0,0,0,0,0,0,0,0,0.0065873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014851,0,0,0,0,0,0.0024613,0,0,0,0,0,0,0,0,0,0
Alistipes_sp_HGB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031729,0,0.0033297,0,0,0,0,0,0.0081957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065536,0,0,0,0,0,0.0325964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes_unclassified,0,0,0.0793623,0,0,0,0,0,0,0,0.0001826,0,0,0,0,0,0.0005664,0,0,0.0000211,0.0018976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010648,0,0,0,0,0,0,0,0.0000107,0,0,0,0,0,0,0.0010225,0.0000636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044713,0,0,0,0,0.0505642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000048,0,0,0,0,0,0.0000079,0,0,0,0,0,0,0,0,0,0.0001036,0,0,0.0000042,0,0.0005653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019196,0,0.0010582,0,0,0,0,0,0.0085129,0.0336503,0,0,0,0,0,0,0,0,0,0,0.0156256,0,0,0,0,0,0.0007887,0,0,0.0000168,0,0,0,0,0,0,0.0004832,0.0513082,0,0,0,0,0.0008604,0.0067071,0,0,0,0,0,0,0.0057875,0,0,0,0,0,0,0,0,0,0.0105772,0,0.0126399,0.00057,0,0,0,0,0.0202076,0,0.0174299,0.0009255
